Project,Component,Short name,Description,Site
X520,TC,a-iogo,I/O Gap & Offset,FCD
X520,TC,a-orgo,Orion Gap/Offset,FCD
X520,TC,a-lggo,Logo Gap&Offset,FCD
X520,TC,a-aw-go,AW gap/offset,FCD
X520,TC,a-mdgo,mandrel Gapoffset,FCD
X520,TC,a-ftgo,Foot gap offset,FCD
X520,TC,a-ajbo,AJ Bracket Offset,FCD
X520,TC,a-rcio,RC Inside Offset,FCD
X520,TC,a-rcoo,RC Outside Offset,FCD
X520,TC,a-xy,X/Y,FCD
X520,TC,a-flat,FlatnessThk,FCD
X520,TC,a-resi,Resistence,FCD
X520,TC,a-clgl,Color&Gloss-TC,FCD
X520,TC,a-land,TC Landing Z,FCD
X520,TC,a-thck,TC Thickness,FCD
X520,TC,a-resh,inspection and reshape,FCD
X520,TC,a-eqpp,Equator-pp,FCD
X520,TC,a-eqap,Equator-ap,FCD
X520,TC,a-beru,Belly Rub,FCD
X520,TC,a-rskb,RS-KB,FCD
X520,TC,a-clch,clutch assy and inspection,FCD
X520,TC,a-mgpf,Magnet Polarity and flux density test,FCD
X520,TC,a-mgfx,Magnet Flux,FCD
X520,TC,a-orf2,Orion Flex Cable 2PT,FCD
X520,TC,a-orf9,Orion Flex Cable 9PT,FCD
X520,TC,a-orc2,Orion Flex Test Fixture for MCU(Type C2),FCD